episode,total_reward
1,-354.9
2,-349.2
3,-365.4
4,-319.0
5,-352.9
6,-324.8
7,-369.6
8,-356.1
9,-316.9
10,-327.1
11,-371.9
12,-326.8
13,-316.9
14,-320.8
15,-380.4
16,-344.8
17,-379.9
18,-343.0
19,-320.0
20,-309.7
21,-317.0
22,-347.3
23,-339.3
24,-310.5
25,-390.3
26,-294.2
27,-312.1
28,-357.0
29,-342.0
30,-374.2
31,-357.6
32,-360.7
33,-363.9
34,-362.6
35,-367.2
36,-311.8
37,-350.5
38,-378.6
39,-337.0
40,-304.6
41,-363.7
42,-370.6
43,-351.7
44,-295.7
45,-342.1
46,-343.4
47,-369.0
48,-344.2
49,-363.3
50,-357.1
51,-363.1
52,-366.7
53,-325.4
54,-381.5
55,-308.2
56,-395.1
57,-337.4
58,-378.8
59,-355.7
60,-345.2
61,-355.0
62,-327.9
63,-373.8
64,-373.1
65,-354.2
66,-360.9
67,-336.9
68,-379.8
69,-313.3
70,-292.4
71,-283.8
72,-329.9
73,-347.6
74,-328.6
75,-371.7
76,-338.8
77,-362.6
78,-309.7
79,-347.6
80,-346.7
81,-303.3
82,-344.9
83,-319.4
84,-338.0
85,-352.6
86,-346.4
87,-369.1
88,-378.7
89,-383.0
90,-318.3
91,-365.6
92,-365.6
93,-331.0
94,-325.6
95,-355.1
96,-352.4
97,-319.7
98,-360.2
99,-350.5
100,-354.4
101,-355.6
102,-340.9
103,-376.2
104,-305.2
105,-350.1
106,-363.4
107,-353.2
108,-328.9
109,-387.1
110,-339.2
111,-342.6
112,-328.7
113,-369.1
114,-342.4
115,-374.4
116,-379.5
117,-390.4
118,-335.9
119,-346.3
120,-349.0
121,-357.1
122,-368.6
123,-343.6
124,-341.7
125,-351.9
126,-327.6
127,-376.3
128,-322.1
129,-310.5
130,-356.6
131,-366.5
132,-342.8
133,-341.2
134,-323.9
135,-371.3
136,-339.5
137,-328.5
138,-324.0
139,-318.6
140,-322.7
141,-327.8
142,-342.0
143,-340.0
144,-353.0
145,-331.6
146,-329.3
147,-354.5
148,-373.7
149,-334.8
150,-384.4
151,-334.6
152,-369.9
153,-339.8
154,-343.9
155,-322.2
156,-352.1
157,-387.3
158,-345.8
159,-356.4
160,-362.3
161,-355.6
162,-356.0
163,-359.3
164,-338.7
165,-337.8
166,-353.0
167,-365.0
168,-374.9
169,-387.9
170,-315.3
171,-305.4
172,-341.7
173,-322.4
174,-323.5
175,-337.7
176,-356.8
177,-384.8
178,-358.1
179,-337.3
180,-344.5
181,-287.5
182,-338.5
183,-359.9
184,-391.8
185,-341.8
186,-332.2
187,-351.9
188,-348.9
189,-357.4
190,-357.8
191,-353.8
192,-357.3
193,-326.8
194,-355.0
195,-360.4
196,-397.7
197,-351.7
198,-387.8
199,-372.2
200,-359.5
201,-362.7
202,-325.6
203,-316.3
204,-364.5
205,-375.0
206,-359.7
207,-349.7
208,-338.1
209,-362.3
210,-351.9
211,-354.9
212,-391.6
213,-314.6
214,-312.9
215,-264.0
216,-380.2
217,-347.4
218,-377.6
219,-360.9
220,-344.8
221,-353.7
222,-394.2
223,-369.7
224,-323.7
225,-361.2
226,-366.9
227,-347.5
228,-363.8
229,-381.5
230,-356.5
231,-341.0
232,-356.4
233,-314.4
234,-346.4
235,-305.6
236,-350.5
237,-322.0
238,-357.3
239,-322.4
240,-343.0
241,-366.2
242,-346.7
243,-349.3
244,-339.4
245,-334.5
246,-326.1
247,-332.5
248,-313.2
249,-354.1
250,-343.4
251,-382.5
252,-300.3
253,-312.8
254,-371.8
255,-377.5
256,-287.4
257,-355.8
258,-385.7
259,-372.4
260,-346.5
261,-354.2
262,-339.2
263,-304.9
264,-348.9
265,-336.1
266,-350.8
267,-320.5
268,-377.1
269,-375.9
270,-329.9
271,-327.3
272,-391.9
273,-308.1
274,-350.1
275,-351.7
276,-360.5
277,-345.3
278,-337.5
279,-384.8
280,-325.6
281,-358.7
282,-350.9
283,-323.0
284,-360.2
285,-347.0
286,-359.3
287,-345.4
288,-352.6
289,-351.0
290,-347.6
291,-283.4
292,-337.5
293,-338.8
294,-323.2
295,-386.0
296,-321.1
297,-349.6
298,-322.8
299,-368.9
300,-349.9
301,-349.5
302,-354.7
303,-341.1
304,-355.7
305,-375.9
306,-345.1
307,-362.7
308,-370.8
309,-332.9
310,-339.6
311,-339.2
312,-339.8
313,-324.9
314,-381.6
315,-374.8
316,-332.6
317,-362.1
318,-389.3
319,-348.7
320,-349.6
321,-353.0
322,-342.0
323,-358.0
324,-353.5
325,-357.4
326,-361.4
327,-347.1
328,-314.7
329,-355.9
330,-339.3
331,-352.7
332,-334.8
333,-333.9
334,-343.7
335,-370.5
336,-329.5
337,-366.6
338,-341.5
339,-372.6
340,-350.1
341,-380.7
342,-347.0
343,-320.1
344,-345.9
345,-346.0
346,-350.5
347,-358.6
348,-343.4
349,-342.9
350,-319.9
351,-356.7
352,-355.4
353,-337.9
354,-358.8
355,-349.4
356,-349.0
357,-349.6
358,-377.5
359,-373.9
360,-343.0
361,-372.8
362,-368.1
363,-332.5
364,-357.2
365,-349.3
366,-308.7
367,-378.1
368,-361.2
369,-373.4
370,-362.9
371,-339.5
372,-347.6
373,-357.8
374,-340.0
375,-352.9
376,-357.0
377,-375.7
378,-351.9
379,-317.6
380,-356.8
381,-335.9
382,-374.7
383,-394.7
384,-381.7
385,-345.3
386,-330.1
387,-373.2
388,-365.3
389,-350.6
390,-335.5
391,-378.4
392,-312.6
393,-350.8
394,-342.0
395,-355.2
396,-358.5
397,-315.5
398,-328.3
399,-314.4
400,-347.9
401,-347.1
402,-373.0
403,-382.8
404,-335.1
405,-361.9
406,-359.7
407,-342.9
408,-323.9
409,-358.7
410,-333.9
411,-327.5
412,-358.8
413,-331.0
414,-362.2
415,-358.6
416,-380.8
417,-337.2
418,-353.3
419,-323.0
420,-338.9
421,-337.4
