episode,total_reward
1,-299.2
2,-257.3
3,-280.6
4,-303.3
5,-266.1
6,-285.8
7,-267.8
8,-321.6
9,-229.0
10,-279.3
11,-164.3
12,-221.3
13,-308.2
14,-302.8
15,-222.3
16,-283.3
17,-333.7
18,-302.0
19,-285.2
20,-287.7
21,-311.5
22,-318.5
23,-278.5
24,-314.3
25,-302.1
26,-292.4
27,-294.8
28,-323.6
29,-187.7
30,-314.6
31,-289.9
32,-179.8
33,-189.9
34,-331.0
35,-160.1
36,-225.2
37,-315.0
38,-259.6
39,-255.4
40,-201.9
41,-253.3
42,-204.8
43,-268.6
44,-205.7
45,-364.2
46,-271.1
47,-205.3
48,-309.1
49,-189.0
50,-245.6
51,-331.0
52,-246.2
53,-279.8
54,-260.7
55,-300.2
56,-308.0
57,-284.6
58,-280.6
59,-262.1
60,-281.9
61,-313.0
62,-221.2
63,-227.5
64,-342.6
65,-283.8
66,-279.0
67,-289.3
68,-234.7
69,-268.8
70,-298.0
71,-263.1
72,-273.4
73,-163.1
74,-170.0
75,-227.7
76,-263.5
77,-340.6
78,-312.9
79,-294.4
80,-257.9
81,-270.7
82,-317.5
83,-253.0
84,-285.3
85,-266.9
86,-303.9
87,-276.4
88,-269.3
89,-321.8
90,-265.7
91,-320.3
92,-333.9
93,-272.9
94,-226.9
95,-247.6
96,-209.4
97,-320.2
98,-312.9
99,-267.5
100,-204.6
101,-288.2
102,-288.9
103,-286.5
104,-273.0
105,-217.7
106,-291.0
107,-229.9
108,-221.1
109,-221.7
110,-167.1
111,-259.7
112,-165.3
113,-224.4
114,-326.4
115,-273.5
116,-317.8
117,-259.9
118,-150.7
119,-284.8
120,-247.3
121,-325.8
122,-310.9
123,-296.7
124,-295.1
125,-286.3
126,-259.0
127,-270.9
128,-255.4
129,-258.5
130,-339.3
131,-248.4
132,-323.4
133,-281.0
134,-250.7
135,-203.8
136,-295.7
137,-249.8
138,-266.8
139,-169.0
140,-273.6
141,-270.4
142,-217.3
143,-309.6
144,-266.7
145,-319.5
146,-204.9
147,-306.3
148,-267.2
149,-230.8
150,-311.5
151,-140.2
152,-239.0
153,-325.9
154,-291.6
155,-236.5
156,-247.8
157,-317.6
158,-284.0
159,-238.3
160,-210.5
161,-276.8
162,-242.0
163,-296.9
164,-239.7
165,-330.1
166,-318.6
167,-248.5
168,-193.3
169,-284.9
170,-272.9
171,-309.6
172,-305.7
173,-291.0
174,-273.6
175,-288.3
176,-249.0
177,-291.4
178,-318.8
179,-299.7
180,-310.0
181,-323.1
182,-319.6
183,-191.1
184,-320.9
185,-295.5
186,-258.4
187,-296.0
188,-268.1
189,-282.2
190,-236.3
191,-320.7
192,-273.5
193,-241.4
194,-296.7
195,-313.3
196,-253.5
197,-291.3
198,-270.3
199,-268.0
200,-256.0
201,-266.1
202,-324.3
203,-263.1
204,-281.5
205,-249.9
206,-322.8
207,-303.4
208,-273.5
209,-227.9
210,-295.5
211,-335.7
212,-290.5
213,-315.2
214,-296.6
215,-193.8
216,-266.3
217,-234.4
218,-281.0
219,-289.6
220,-304.0
221,-184.9
222,-277.6
223,-295.8
224,-265.1
225,-335.6
226,-300.1
227,-306.8
228,-303.1
229,-186.7
230,-296.8
231,-259.8
232,-273.5
233,-301.1
234,-273.1
235,-258.7
236,-282.2
237,-291.0
238,-322.9
239,-278.6
240,-317.8
241,-178.8
242,-283.5
243,-222.4
244,-262.6
245,-270.4
246,-216.2
247,-261.0
248,-273.9
249,-204.7
250,-232.0
251,-328.4
252,-297.1
253,-232.0
254,-238.0
255,-300.4
256,-317.6
257,-335.3
258,-266.7
259,-312.6
260,-258.6
261,-317.4
262,-285.8
263,-211.8
264,-288.8
265,-249.7
266,-251.0
267,-284.3
268,-223.5
269,-282.3
270,-238.6
271,-262.3
272,-273.7
273,-252.9
274,-343.4
275,-198.1
276,-253.4
277,-196.0
278,-327.7
279,-251.4
280,-266.6
281,-350.2
282,-289.2
283,-276.0
284,-249.0
285,-250.6
286,-308.9
287,-290.1
288,-227.5
289,-292.8
290,-292.4
291,-234.9
292,-243.9
293,-273.6
294,-234.0
295,-243.0
296,-330.1
297,-262.3
298,-225.8
299,-231.4
300,-250.0
301,-200.0
302,-263.1
303,-111.1
304,-291.3
305,-276.9
306,-249.0
307,-161.0
308,-306.7
309,-332.6
310,-289.7
311,-274.1
312,-288.0
313,-264.6
314,-307.1
315,-260.3
316,-317.0
317,-214.8
318,-343.4
319,-224.2
320,-283.1
321,-287.6
322,-279.9
323,-288.6
324,-282.8
325,-226.9
326,-249.8
327,-246.9
328,-299.1
329,-290.0
330,-323.2
331,-229.6
332,-269.9
333,-214.6
334,-278.3
335,-243.5
336,-243.8
337,-271.5
338,-302.1
339,-352.5
340,-267.0
341,-259.0
342,-265.3
343,-310.7
344,-238.4
345,-284.7
346,-307.0
347,-262.4
348,-226.8
349,-293.5
350,-168.5
351,-282.8
352,-188.0
353,-179.4
354,-205.6
355,-259.9
356,-212.1
357,-320.4
358,-269.0
359,-287.1
360,-275.9
361,-216.6
362,-285.7
363,-261.4
364,-265.2
365,-268.4
366,-272.0
367,-224.1
368,-304.2
369,-303.6
370,-229.1
371,-217.8
372,-255.4
373,-345.4
374,-292.8
375,-332.8
376,-240.5
377,-239.5
378,-299.8
379,-300.8
380,-255.6
381,-176.2
382,-294.1
383,-255.7
384,-290.9
385,-295.8
386,-281.6
387,-305.7
388,-335.5
389,-314.8
390,-297.8
391,-265.7
392,-157.5
393,-303.1
394,-250.5
395,-287.2
396,-262.0
397,-285.4
398,-275.7
399,-236.1
400,-243.7
401,-281.2
402,-333.2
403,-254.5
404,-180.2
405,-271.4
406,-232.6
407,-273.8
408,-255.3
409,-221.6
410,-252.9
411,-333.7
412,-261.6
413,-248.0
414,-200.9
415,-261.1
416,-260.6
417,-250.5
418,-293.5
419,-249.6
420,-221.1
421,-248.8
422,-256.0
423,-231.0
424,-220.3
425,-235.5
426,-236.5
427,-298.9
428,-238.6
429,-295.1
430,-277.4
431,-286.3
432,-242.9
433,-307.1
434,-322.9
435,-268.6
436,-248.9
437,-205.7
438,-229.4
439,-270.4
440,-239.8
441,-287.5
442,-236.3
443,-332.2
444,-226.5
445,-282.6
446,-343.6
447,-274.4
448,-289.5
449,-224.2
450,-217.7
451,-277.1
452,-235.7
453,-269.6
454,-339.7
455,-174.2
456,-223.9
457,-331.7
458,-281.0
459,-275.5
460,-197.8
461,-302.7
462,-218.6
463,-306.3
464,-204.5
465,-230.9
466,-233.9
467,-266.7
468,-278.0
469,-327.3
470,-325.5
471,-291.4
472,-267.8
473,-308.7
474,-276.5
475,-290.4
476,-226.8
477,-241.5
478,-262.9
479,-297.0
480,-256.7
481,-299.3
482,-258.1
483,-262.4
484,-286.2
485,-271.5
486,-249.1
487,-195.0
488,-303.1
489,-272.1
490,-268.9
491,-282.8
492,-242.7
493,-208.9
494,-284.7
495,-296.8
496,-225.0
497,-317.1
498,-327.4
499,-231.6
500,-282.2
501,-298.0
502,-227.5
503,-231.1
504,-241.8
505,-153.9
506,-229.1
507,-233.4
508,-270.9
509,-229.3
510,-314.4
511,-203.4
512,-247.3
513,-187.9
514,-305.5
515,-253.3
516,-339.1
517,-249.3
518,-267.7
519,-232.9
520,-244.9
521,-270.4
522,-252.7
523,-238.4
524,-285.8
525,-258.7
526,-256.7
527,-282.6
528,-259.9
529,-257.0
530,-267.3
531,-269.1
532,-271.3
533,-257.8
534,-242.1
535,-328.5
536,-262.7
537,-220.9
538,-260.8
539,-315.3
540,-283.7
541,-221.3
542,-238.9
543,-324.6
544,-278.5
545,-242.5
546,-292.3
547,-313.8
548,-274.1
549,-284.7
550,-246.6
551,-307.8
552,-240.2
553,-277.1
554,-304.4
555,-258.7
556,-285.7
557,-228.4
558,-193.6
559,-265.3
560,-203.7
561,-234.6
562,-146.6
563,-332.5
564,-290.8
565,-301.3
566,-240.9
567,-316.1
568,-246.8
569,-243.3
570,-272.5
571,-300.3
572,-197.2
573,-227.8
574,-217.9
575,-226.9
576,-220.3
577,-253.4
578,-278.6
579,-333.2
580,-229.0
581,-239.9
582,-201.2
583,-316.2
584,-298.7
585,-329.6
586,-304.3
587,-244.3
588,-339.0
589,-180.7
590,-238.0
591,-271.6
592,-217.6
593,-299.3
594,-259.2
595,-250.2
596,-271.2
597,-263.4
598,-209.1
599,-300.9
600,-242.7
601,-249.1
602,-208.1
603,-266.1
604,-242.7
605,-258.0
606,-247.6
607,-210.6
608,-218.0
609,-234.2
610,-190.1
611,-277.0
612,-339.7
613,-200.7
614,-346.7
615,-216.4
616,-306.8
617,-261.8
618,-301.0
619,-304.9
620,-172.5
621,-283.6
622,-268.2
623,-257.0
624,-274.8
625,-258.6
626,-313.3
627,-276.8
628,-292.0
629,-353.3
630,-343.1
631,-281.0
632,-268.9
633,-288.0
634,-277.9
635,-206.4
636,-248.0
637,-337.9
638,-292.3
639,-270.7
640,-340.9
641,-299.9
642,-241.9
643,-273.5
644,-283.1
645,-232.1
646,-260.6
647,-266.8
648,-275.1
649,-277.0
650,-291.7
651,-170.7
652,-291.5
653,-247.5
654,-211.8
655,-230.8
656,-300.8
657,-263.2
658,-308.1
659,-246.2
660,-297.0
661,-285.8
662,-243.4
663,-301.9
664,-198.7
665,-299.8
666,-278.9
667,-263.8
668,-183.2
669,-308.0
670,-293.5
671,-285.3
672,-260.2
673,-321.2
674,-326.0
675,-323.8
676,-304.7
677,-286.1
678,-303.9
679,-229.8
680,-250.2
681,-282.3
682,-290.9
683,-307.8
684,-287.8
685,-285.0
686,-263.8
687,-110.6
688,-298.6
689,-347.9
690,-284.5
691,-236.8
692,-352.8
693,-281.1
694,-210.4
695,-301.7
696,-226.0
697,-253.9
698,-286.3
699,-330.8
700,-151.8
701,-258.3
702,-101.1
703,-283.0
704,-289.6
705,-193.7
706,-329.4
707,-190.3
708,-293.8
709,-249.9
710,-315.3
711,-317.3
712,-312.5
713,-284.1
714,-290.5
715,-249.1
716,-337.1
717,-229.6
718,-121.9
719,-249.5
720,-230.0
721,-355.1
722,-155.5
723,-293.3
724,-268.9
725,-240.4
726,-217.5
727,-241.7
728,-264.3
729,-287.2
730,-204.7
731,-349.0
732,-269.9
733,-257.8
734,-255.3
735,-297.6
736,-265.6
737,-191.6
738,-292.4
739,-303.4
740,-266.7
741,-291.7
742,-270.8
743,-277.4
744,-277.1
745,-325.7
746,-276.8
747,-238.1
748,-263.1
749,-286.9
750,-272.7
751,-278.2
752,-270.4
753,-224.7
754,-287.8
755,-258.9
756,-251.4
757,-229.3
758,-294.7
759,-258.1
760,-231.2
761,-232.0
762,-280.3
763,-290.2
764,-222.2
765,-249.0
766,-255.4
767,-252.8
768,-289.4
769,-268.9
770,-267.8
771,-218.9
772,-196.5
773,-288.1
774,-284.5
775,-259.8
776,-262.9
777,-227.3
778,-199.6
779,-271.4
780,-356.6
781,-256.2
782,-265.8
783,-112.3
784,-277.7
785,-297.0
786,-187.1
787,-255.3
788,-212.3
789,-251.5
790,-248.0
791,-239.3
792,-130.9
793,-194.4
794,-288.7
795,-256.2
796,-307.3
797,-271.0
798,-239.4
799,-297.2
800,-286.1
801,-231.5
802,-253.2
803,-304.5
804,-279.3
805,-264.5
806,-267.5
807,-237.9
808,-323.1
809,-299.6
810,-320.6
811,-285.8
812,-335.8
813,-272.4
814,-283.3
815,-289.6
816,-297.0
817,-263.0
818,-221.6
819,-254.4
820,-319.5
821,-310.9
822,-246.0
823,-267.2
824,-179.6
825,-226.7
826,-265.0
827,-270.3
828,-312.2
829,-335.6
830,-270.1
831,-257.4
832,-237.1
833,-194.6
834,-235.0
835,-236.3
836,-227.0
837,-212.0
838,-224.7
839,-322.7
840,-300.6
841,-301.5
842,-310.6
843,-295.0
844,-317.4
845,-242.2
846,-228.6
847,-269.2
848,-163.0
849,-282.9
850,-239.6
851,-238.7
852,-246.2
853,-214.9
854,-203.6
855,-298.3
856,-232.4
857,-293.2
858,-259.9
859,-269.1
860,-318.6
861,-201.7
862,-267.1
863,-316.7
864,-252.7
865,-297.4
866,-234.1
867,-265.0
868,-307.8
869,-226.4
870,-251.5
871,-255.7
872,-295.3
873,-238.9
874,-305.9
875,-345.8
876,-256.1
877,-236.3
878,-286.5
879,-285.1
880,-189.7
881,-206.7
882,-256.1
883,-236.5
884,-366.9
885,-292.9
886,-259.7
887,-218.3
888,-251.1
889,-245.8
890,-282.1
891,-181.9
892,-282.4
893,-275.9
894,-301.5
895,-246.7
896,-178.8
897,-217.7
898,-206.1
899,-262.6
900,-184.4
901,-268.0
902,-229.0
903,-241.9
904,-295.4
905,-288.8
906,-275.1
907,-283.7
908,-246.8
909,-289.8
910,-219.2
911,-231.3
912,-336.1
913,-289.3
914,-233.5
915,-237.3
916,-340.3
917,-220.7
918,-273.9
919,-154.8
920,-273.6
921,-301.8
922,-253.2
923,-271.4
924,-267.6
925,-268.2
926,-312.0
927,-265.2
928,-149.5
929,-240.1
930,-295.5
931,-224.9
932,-306.9
933,-291.9
934,-320.2
935,-239.7
936,-330.8
937,-205.0
938,-295.7
939,-289.6
940,-341.5
941,-307.9
942,-232.0
943,-265.5
944,-297.1
945,-298.7
946,-161.8
947,-161.3
948,-311.9
949,-282.3
950,-296.3
951,-269.1
952,-220.4
953,-261.7
954,-238.7
955,-317.1
956,-237.8
957,-225.7
958,-299.5
959,-305.8
960,-226.7
961,-292.0
962,-274.5
963,-232.6
964,-351.2
965,-277.2
966,-252.3
967,-202.8
968,-253.1
969,-276.2
970,-269.3
971,-217.8
972,-239.2
973,-242.7
974,-251.4
975,-268.3
976,-335.6
977,-258.2
978,-191.2
979,-298.4
980,-303.0
981,-283.8
982,-282.1
983,-293.2
984,-229.1
985,-232.7
986,-297.9
987,-307.3
988,-280.1
989,-249.4
990,-182.1
991,-267.2
992,-244.5
993,-350.6
994,-314.0
995,-268.3
996,-261.6
997,-284.3
998,-284.5
999,-328.1
1000,-200.1
1001,-322.6
1002,-253.1
1003,-249.2
1004,-231.5
1005,-283.0
1006,-253.5
1007,-302.4
1008,-287.7
1009,-301.8
1010,-153.9
1011,-288.1
1012,-240.2
1013,-310.6
1014,-264.2
1015,-275.9
1016,-312.1
1017,-296.6
1018,-320.0
1019,-249.6
1020,-250.5
1021,-227.3
1022,-263.2
1023,-227.2
1024,-299.3
1025,-318.0
1026,-269.0
1027,-360.0
1028,-265.1
1029,-336.0
1030,-277.8
1031,-239.1
1032,-261.5
1033,-249.4
1034,-260.2
1035,-256.4
1036,-303.5
1037,-197.7
1038,-205.2
1039,-272.6
1040,-278.6
1041,-215.7
1042,-278.0
1043,-262.5
1044,-273.5
1045,-281.8
1046,-205.7
1047,-285.4
1048,-263.5
1049,-304.6
1050,-301.9
1051,-287.1
1052,-219.1
1053,-291.0
1054,-271.2
1055,-254.2
1056,-287.2
1057,-266.1
1058,-331.1
1059,-246.3
1060,-266.1
1061,-246.0
1062,-249.3
1063,-272.5
1064,-296.7
1065,-306.6
1066,-262.1
1067,-251.7
1068,-259.4
1069,-311.2
1070,-213.5
1071,-268.9
1072,-283.0
1073,-282.3
1074,-309.5
1075,-203.9
1076,-269.5
1077,-323.1
1078,-279.2
1079,-298.2
1080,-251.2
1081,-178.5
1082,-276.9
1083,-244.1
1084,-300.0
1085,-322.8
1086,-251.6
1087,-242.8
1088,-263.1
1089,-310.6
1090,-246.0
1091,-297.7
1092,-307.2
1093,-327.0
1094,-223.7
1095,-327.9
1096,-304.1
1097,-282.3
1098,-230.4
1099,-132.7
1100,-252.1
1101,-291.6
1102,-313.1
1103,-294.4
1104,-159.8
1105,-321.3
1106,-241.6
1107,-316.4
1108,-246.3
1109,-269.7
1110,-283.4
1111,-173.2
1112,-195.3
1113,-234.5
1114,-310.6
1115,-297.1
1116,-261.1
1117,-212.1
1118,-302.6
1119,-270.9
1120,-297.7
1121,-216.6
1122,-281.2
1123,-288.8
1124,-285.9
1125,-264.1
1126,-222.9
1127,-296.7
1128,-259.1
1129,-254.5
1130,-330.3
1131,-309.5
1132,-275.7
1133,-257.1
1134,-328.0
1135,-306.3
1136,-235.8
1137,-283.8
1138,-288.6
1139,-222.8
1140,-254.6
1141,-280.6
1142,-329.1
1143,-226.7
1144,-211.2
1145,-194.1
1146,-277.3
1147,-180.3
1148,-279.4
1149,-220.1
1150,-300.9
1151,-190.3
1152,-257.7
1153,-258.8
1154,-276.9
1155,-344.9
1156,-279.1
1157,-344.0
1158,-166.2
1159,-265.9
1160,-188.4
1161,-301.9
1162,-285.8
1163,-222.7
1164,-357.6
1165,-170.2
1166,-207.1
1167,-291.8
1168,-287.8
1169,-290.7
1170,-249.4
1171,-292.5
1172,-152.6
1173,-287.0
1174,-252.4
1175,-233.9
1176,-232.1
1177,-151.6
1178,-312.2
1179,-274.5
1180,-189.6
1181,-197.2
1182,-214.7
1183,-267.5
1184,-277.0
1185,-282.6
1186,-259.7
1187,-94.5
1188,-277.2
1189,-296.7
1190,-241.6
1191,-286.3
1192,-142.8
1193,-283.5
1194,-249.8
1195,-302.0
1196,-239.8
1197,-230.7
1198,-218.5
1199,-306.7
1200,-173.2
1201,-264.2
1202,-273.8
1203,-283.4
1204,-302.2
1205,-260.9
1206,-233.2
1207,-259.4
1208,-223.8
1209,-256.8
1210,-272.0
1211,-235.2
1212,-276.2
1213,-314.4
1214,-262.7
1215,-311.9
1216,-211.4
1217,-286.7
1218,-282.3
1219,-250.0
1220,-269.1
1221,-260.4
1222,-176.5
1223,-259.1
1224,-196.9
1225,-235.6
1226,-280.1
1227,-310.4
1228,-281.0
1229,-263.0
1230,-243.8
1231,-252.2
1232,-275.5
1233,-182.9
1234,-262.3
1235,-283.6
1236,-238.5
1237,-278.4
1238,-287.1
1239,-259.7
1240,-263.3
1241,-324.8
1242,-284.5
1243,-233.3
1244,-281.2
1245,-247.9
1246,-218.7
1247,-215.6
1248,-277.1
1249,-311.0
1250,-265.7
1251,-257.7
1252,-196.9
1253,-267.0
1254,-259.3
1255,-217.5
1256,-285.1
1257,-227.4
1258,-317.3
1259,-248.0
1260,-308.4
1261,-279.3
1262,-266.6
1263,-254.1
1264,-240.4
1265,-338.1
1266,-274.7
1267,-284.6
1268,-198.0
1269,-218.0
1270,-285.8
1271,-273.3
1272,-231.7
1273,-251.9
1274,-259.7
1275,-288.8
1276,-285.2
1277,-272.0
1278,-192.9
1279,-255.3
1280,-247.1
1281,-277.6
1282,-264.4
1283,-298.0
1284,-259.3
1285,-296.4
1286,-315.9
1287,-207.7
1288,-179.4
1289,-272.5
1290,-240.7
1291,-249.6
1292,-165.2
1293,-227.9
1294,-250.0
1295,-249.8
1296,-279.6
1297,-307.6
1298,-255.0
1299,-219.0
1300,-264.0
1301,-340.6
1302,-214.6
1303,-334.2
1304,-295.8
1305,-184.2
1306,-282.7
1307,-249.1
1308,-310.5
1309,-250.8
1310,-213.8
1311,-172.0
1312,-256.6
1313,-265.9
1314,-286.5
1315,-292.4
1316,-313.6
1317,-210.0
1318,-264.2
1319,-290.2
1320,-253.4
1321,-310.5
1322,-290.0
1323,-227.4
1324,-298.2
1325,-299.9
1326,-232.2
1327,-264.6
1328,-168.6
1329,-265.6
1330,-183.2
1331,-312.9
1332,-225.5
1333,-278.0
1334,-177.5
1335,-272.2
1336,-222.6
1337,-266.0
1338,-268.6
1339,-233.6
1340,-242.2
1341,-312.8
1342,-161.0
1343,-321.9
1344,-299.4
1345,-229.0
1346,-219.3
1347,-258.9
1348,-322.2
1349,-251.6
1350,-278.1
1351,-129.6
1352,-264.9
1353,-279.9
1354,-257.8
1355,-286.9
1356,-249.7
1357,-226.7
1358,-247.0
1359,-218.1
1360,-285.0
1361,-193.8
1362,-200.5
1363,-243.8
1364,-268.0
1365,-286.4
1366,-243.2
1367,-322.6
1368,-250.5
1369,-240.6
1370,-218.1
1371,-341.2
1372,-226.1
1373,-355.8
1374,-235.1
1375,-273.5
1376,-239.3
1377,-230.6
1378,-293.8
1379,-220.0
1380,-276.2
1381,-174.6
1382,-353.9
1383,-331.9
1384,-226.5
1385,-320.5
1386,-278.8
1387,-250.3
1388,-297.2
1389,-269.1
1390,-264.8
1391,-265.9
1392,-192.1
1393,-252.5
1394,-275.2
1395,-241.3
1396,-246.6
1397,-285.1
1398,-316.4
1399,-194.8
1400,-284.2
1401,-325.9
1402,-298.5
1403,-251.7
1404,-274.5
1405,-247.1
1406,-234.0
1407,-281.0
1408,-238.1
1409,-214.4
1410,-306.3
1411,-261.0
1412,-290.2
1413,-223.9
1414,-230.4
1415,-292.9
1416,-233.7
1417,-283.1
1418,-326.3
1419,-251.6
1420,-301.5
1421,-252.2
1422,-253.4
1423,-292.8
1424,-236.6
1425,-202.8
1426,-259.9
1427,-253.2
1428,-240.1
1429,-294.6
1430,-271.0
1431,-294.2
1432,-263.1
1433,-189.3
1434,-247.0
1435,-303.0
1436,-274.1
1437,-263.6
1438,-122.0
1439,-265.8
1440,-277.7
1441,-288.8
1442,-318.6
1443,-270.9
1444,-350.3
1445,-261.5
1446,-263.6
1447,-199.7
1448,-253.7
1449,-229.5
1450,-222.1
1451,-234.7
1452,-242.7
1453,-207.9
1454,-293.0
1455,-314.1
1456,-238.0
1457,-270.8
1458,-313.2
1459,-266.5
1460,-218.2
1461,-303.1
1462,-286.9
1463,-259.6
1464,-267.9
1465,-217.7
1466,-256.4
1467,-255.9
1468,-260.9
1469,-253.4
1470,-318.1
1471,-313.4
1472,-230.3
1473,-202.6
1474,-289.1
1475,-270.2
1476,-264.1
1477,-181.3
1478,-235.9
1479,-252.7
1480,-236.4
1481,-301.2
1482,-253.9
1483,-322.8
1484,-227.1
1485,-348.1
1486,-271.5
1487,-216.5
1488,-295.8
1489,-265.9
1490,-280.2
1491,-272.1
1492,-300.0
1493,-193.0
1494,-265.9
1495,-220.9
1496,-261.9
1497,-307.1
1498,-236.3
1499,-242.5
1500,-270.2
1501,-293.0
1502,-274.1
1503,-252.0
1504,-272.1
1505,-292.4
1506,-322.8
