episode,total_reward
1,-294.8
2,-265.5
3,-323.2
4,-216.7
5,-247.0
6,-343.4
7,-271.7
8,-339.8
9,-309.3
10,-316.3
11,-319.3
12,-326.8
13,-301.5
14,-328.0
15,-331.2
16,-287.2
17,-320.6
18,-204.6
19,-274.3
20,-319.3
21,-295.7
22,-292.1
23,-294.9
24,-295.1
25,-309.9
26,-301.5
27,-297.1
28,-300.3
29,-287.1
30,-335.4
31,-277.8
32,-261.1
33,-293.4
34,-305.2
35,-305.0
36,-308.7
37,-297.2
38,-244.4
39,-232.1
40,-254.6
41,-307.4
42,-350.9
43,-302.5
44,-213.3
45,-330.2
46,-287.2
47,-277.7
48,-291.9
49,-277.5
50,-342.5
51,-295.7
52,-274.8
53,-309.4
54,-261.1
55,-276.6
56,-263.9
57,-223.3
58,-304.2
59,-291.8
60,-303.6
61,-317.6
62,-285.2
63,-361.0
64,-307.8
65,-325.5
66,-272.8
67,-320.2
68,-305.1
69,-265.6
70,-259.2
71,-292.2
72,-288.0
73,-318.2
74,-322.7
75,-288.9
76,-319.5
77,-293.8
78,-276.3
79,-249.5
80,-300.3
81,-331.4
82,-337.3
83,-329.0
84,-319.3
85,-328.9
86,-321.1
87,-273.7
88,-340.1
89,-241.3
90,-312.5
91,-295.6
92,-280.9
93,-260.4
94,-287.9
95,-283.8
96,-273.9
97,-319.0
98,-343.2
99,-318.7
100,-306.2
101,-308.2
102,-303.9
103,-359.8
104,-327.5
105,-310.8
106,-283.0
107,-321.2
108,-305.5
109,-320.9
110,-250.6
111,-285.8
112,-354.1
113,-260.8
114,-249.4
115,-348.2
116,-308.9
117,-296.3
118,-265.6
119,-299.0
120,-281.0
121,-364.6
122,-330.2
123,-284.6
124,-275.3
125,-260.6
126,-310.3
127,-278.5
128,-331.5
129,-275.2
130,-285.6
131,-352.1
132,-274.6
133,-255.9
134,-317.4
135,-333.2
136,-342.2
137,-289.7
138,-295.5
139,-319.5
140,-307.0
141,-313.8
142,-330.8
143,-313.8
144,-329.0
145,-307.5
146,-311.0
147,-285.2
148,-271.7
149,-332.4
150,-269.6
151,-317.1
