episode,total_reward
1,-472.5
2,-487.6
3,-481.0
4,-494.3
5,-483.8
6,-477.8
7,-494.9
8,-474.9
9,-490.0
10,-486.0
11,-493.7
12,-495.2
13,-484.2
14,-493.1
15,-479.8
16,-475.3
17,-479.9
18,-491.9
19,-485.1
20,-475.4
21,-486.3
22,-483.1
23,-479.8
24,-473.9
25,-489.2
26,-475.2
27,-486.5
28,-486.4
29,-484.7
30,-471.7
31,-480.4
32,-465.5
33,-493.5
34,-481.0
35,-491.2
36,-470.0
37,-493.3
38,-484.5
39,-494.1
40,-473.9
41,-481.7
42,-474.1
43,-496.7
44,-467.5
45,-483.9
46,-468.6
47,-480.2
48,-459.5
49,-467.9
50,-484.7
51,-482.5
52,-478.4
53,-480.3
54,-477.1
55,-485.2
56,-473.8
57,-488.8
58,-479.4
59,-500.0
60,-486.4
61,-484.7
62,-491.6
63,-491.4
64,-474.5
65,-478.2
66,-488.7
67,-483.7
68,-476.7
69,-480.2
70,-490.7
71,-477.8
72,-475.1
73,-491.0
74,-488.9
75,-492.5
76,-474.0
77,-465.5
78,-477.2
79,-490.5
80,-487.1
81,-465.1
82,-482.9
83,-505.8
84,-487.7
85,-483.1
86,-496.1
87,-481.2
88,-476.4
89,-467.2
90,-479.3
91,-475.8
92,-479.7
93,-485.5
94,-493.9
95,-486.8
96,-483.9
97,-486.2
98,-487.6
99,-480.7
100,-480.3
101,-473.2
102,-479.5
103,-482.8
104,-476.3
105,-481.2
106,-478.4
107,-479.9
108,-486.9
109,-477.8
110,-464.4
111,-485.3
112,-489.6
113,-480.8
114,-481.3
115,-478.3
116,-491.8
117,-497.4
118,-486.1
119,-486.9
120,-490.7
121,-480.8
122,-494.9
123,-485.8
124,-481.1
125,-486.9
126,-473.5
127,-466.8
128,-485.5
129,-484.8
130,-489.2
131,-485.6
132,-481.8
133,-479.1
134,-486.1
135,-483.8
136,-492.3
137,-470.7
138,-489.4
139,-493.9
140,-478.5
141,-480.0
142,-488.5
143,-466.0
144,-476.7
145,-485.1
146,-472.5
147,-484.2
148,-478.0
149,-491.2
150,-494.5
151,-495.8
152,-470.3
153,-479.4
154,-482.0
155,-484.7
156,-487.3
157,-467.5
158,-487.8
159,-484.2
160,-486.8
161,-487.3
162,-468.3
163,-472.2
164,-489.7
165,-461.8
166,-495.8
167,-473.1
168,-473.0
169,-476.9
170,-473.1
171,-472.8
172,-476.8
173,-475.1
174,-472.9
175,-480.3
176,-481.7
177,-479.4
178,-477.1
179,-490.3
180,-485.9
181,-487.4
182,-476.8
183,-484.9
184,-492.4
185,-494.0
186,-480.4
187,-473.3
188,-482.0
189,-480.4
190,-487.9
191,-477.1
192,-490.8
193,-476.9
194,-478.5
195,-481.4
196,-484.9
197,-481.4
198,-474.7
199,-476.3
200,-479.4
201,-480.0
202,-482.7
203,-475.2
204,-471.4
205,-490.3
