episode,total_reward
1,-241.1
2,-294.0
3,-263.5
4,-298.2
5,-297.6
6,-243.7
7,-286.6
8,-271.7
9,-309.4
10,-301.4
11,-292.3
12,-328.2
13,-319.0
14,-237.8
15,-264.9
16,-277.6
17,-237.1
18,-284.8
19,-282.3
20,-275.8
21,-312.7
22,-287.0
23,-291.0
24,-268.6
25,-359.2
26,-343.7
27,-293.2
28,-332.0
29,-275.3
30,-260.4
31,-280.9
32,-317.2
33,-292.1
34,-313.4
35,-257.7
36,-265.2
37,-301.0
38,-277.9
39,-244.7
40,-316.3
41,-276.9
42,-257.7
43,-329.8
44,-252.6
45,-281.5
46,-296.1
47,-315.0
48,-271.2
49,-300.4
50,-294.5
51,-300.0
52,-273.5
53,-291.5
54,-294.2
55,-258.0
56,-291.2
57,-322.5
58,-277.7
59,-306.0
60,-321.8
61,-278.7
62,-306.8
63,-300.9
64,-260.0
65,-331.6
66,-317.5
67,-258.3
68,-297.4
69,-278.5
70,-315.7
71,-297.4
72,-290.3
73,-281.0
74,-314.7
75,-258.5
76,-288.9
77,-337.7
78,-282.7
79,-250.3
80,-281.1
81,-289.0
82,-317.7
83,-285.7
84,-303.8
85,-257.6
86,-305.5
87,-322.0
88,-302.6
89,-277.5
90,-253.1
91,-328.0
92,-287.9
93,-299.6
94,-352.5
95,-314.9
96,-298.1
97,-274.5
98,-296.7
99,-267.0
100,-297.5
101,-278.0
102,-235.5
103,-203.2
104,-329.5
105,-283.9
106,-292.8
107,-300.8
108,-316.0
109,-271.5
110,-284.2
111,-238.0
112,-301.3
113,-281.2
114,-291.5
115,-253.5
116,-257.2
117,-289.1
118,-296.6
119,-262.8
120,-303.6
121,-241.4
122,-292.7
123,-240.6
124,-274.6
125,-324.1
126,-261.4
127,-298.8
128,-292.5
129,-278.0
130,-291.6
131,-360.7
132,-280.5
133,-297.3
134,-289.1
135,-318.5
136,-325.0
137,-339.1
138,-284.1
139,-285.3
140,-280.7
141,-354.2
142,-268.4
143,-358.3
144,-283.4
145,-270.9
146,-281.4
147,-306.1
148,-249.5
149,-245.0
150,-272.4
151,-272.6
152,-273.9
153,-260.9
154,-324.0
155,-251.2
156,-272.9
157,-280.1
158,-278.0
159,-339.7
160,-352.6
161,-291.7
162,-257.3
163,-273.8
164,-246.6
165,-300.4
166,-339.3
167,-299.1
168,-346.5
169,-224.5
170,-247.6
171,-226.7
172,-302.2
173,-279.6
174,-282.5
175,-303.6
176,-233.7
177,-283.0
178,-271.0
179,-286.2
180,-322.8
181,-320.0
182,-296.6
183,-271.4
184,-281.7
185,-277.3
186,-260.7
187,-244.4
188,-290.4
189,-304.8
190,-244.9
191,-334.0
192,-262.0
193,-272.6
194,-272.0
195,-256.0
196,-256.1
197,-263.0
198,-291.8
199,-295.1
200,-281.0
201,-234.9
202,-302.3
203,-298.4
204,-296.8
205,-256.9
206,-245.2
207,-298.9
208,-277.6
209,-302.0
210,-329.9
211,-277.9
212,-239.3
213,-317.6
214,-281.5
215,-309.4
216,-250.1
217,-251.3
218,-294.1
219,-291.3
220,-224.4
221,-267.7
222,-284.1
223,-290.6
224,-279.8
225,-320.6
226,-279.2
227,-271.0
228,-218.0
229,-290.8
230,-288.3
231,-305.7
232,-278.6
233,-196.2
234,-316.4
235,-282.1
236,-241.6
237,-260.9
238,-256.2
239,-329.7
240,-280.7
241,-287.7
242,-272.4
243,-292.4
244,-282.2
245,-339.4
246,-336.7
247,-318.3
248,-291.4
249,-260.9
250,-308.4
251,-231.5
252,-297.1
253,-264.2
254,-248.1
255,-268.2
256,-279.9
257,-234.9
258,-262.2
259,-279.0
260,-326.0
261,-328.2
262,-264.2
263,-307.2
264,-349.8
265,-317.0
266,-272.4
267,-308.0
268,-314.7
269,-233.5
270,-336.1
271,-254.8
272,-301.4
273,-320.2
274,-279.5
275,-290.0
276,-278.1
277,-260.9
278,-298.0
279,-313.3
280,-298.7
281,-257.9
282,-288.8
283,-287.1
284,-272.6
285,-254.8
286,-296.2
287,-323.1
288,-299.5
289,-303.7
290,-268.7
291,-315.8
292,-250.4
293,-298.8
294,-243.4
295,-274.6
296,-288.8
297,-211.3
298,-252.3
299,-274.5
300,-269.3
301,-263.7
302,-329.0
303,-266.1
304,-298.9
305,-287.6
306,-294.1
307,-280.0
308,-274.9
309,-341.8
310,-301.9
311,-248.6
312,-219.3
313,-311.6
314,-292.3
315,-305.6
316,-322.3
317,-241.2
318,-318.7
319,-284.3
320,-271.2
321,-311.3
322,-306.3
323,-248.0
324,-273.2
325,-329.6
326,-308.7
327,-266.8
328,-283.0
329,-251.7
330,-262.7
